all_reviewers_average,box_office,director_1,director_2,director_3,directors,full_synop,genre,movie_id,mpaa,num_all_fresh,num_all_reviewers,num_all_rotten,num_top_fresh,num_top_reviewers,num_top_rotten,num_users,runtime,simple_title,stream_date,studio,theater_date,title,top_reviewers_average,user_rating,writer,writer_1,writer_2,writer_3
7.9/10,,Roger Michell,,,Roger Michell,"What happens when four legends of British stage and screen get together? Dame Maggie Smith, Dame Judi Dench, Dame Eileen Atkins, and Dame Joan Plowright are among the most celebrated actresses of our time, with scores of iconic performances, decades of wisdom, and innumerable Oscars, Tonys, Emmys, and BAFTAs between them. They are also longtime friends who hereby invite you to join them for a weekend in the country as they catch up with one another, reminisce, and share their candid, delightfully irreverent thoughts on everything from art to aging to love to a life lived in the spotlight. Bursting with devilish wit and whip-smart insights, Tea With The Dames is a remarkable opportunity to spend time in the company of four all-time greats--up close and unfiltered.",Documentary,771493454,NR,78.0,79.0,1.0,16.0,16.0,0.0,523,94.0,Tea With the Dames,"Jan 15, 2019",,"Sep 21, 2018",Tea With the Dames (Nothing Like a Dame),8.6/10,3.9/5,,,,
5.6/10,,Hugo Stuven,,,Hugo Stuven,"In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events.","Action & Adventure, Art House & International, Drama, Romance",771496072,NR,6.0,8.0,2.0,,,,13,91.0,Alone,"Jan 11, 2019",,,Alone (Solo),,3.4/5,Hugo Stuven,Hugo Stuven,,
5.8/10,,David Leitch,,,David Leitch,"""Fox has been asking for a PG-13 basically since the start in 2006,"" Ryan Reynolds told Deadline. ""I've said no since 2006. Now, this one time, I said 'Yes' on two conditions. First, a portion of the proceeds had to go to charity. Second, I wanted to kidnap Fred Savage. The second condition took some explaining...""Fred Savage will join Reynolds in new scenes for ONCE UPON A DEADPOOL in an homage to Savage's starring role in the 1987 bedtime-story classic THE PRINCESS BRIDE. Fred remarked, ""while my participation in this film was anything but voluntary, I am happy to learn that Fudge Cancer will be the beneficiary of this shameless cash grab""","Action & Adventure, Comedy",771499156,"PG-13 (for intense sequences of violence and action, crude sexual content, language, thematic elements and brief drug material)",27.0,51.0,24.0,5.0,9.0,4.0,925,116.0,Once Upon a Deadpool,"Jan 15, 2019",20th Century Fox,"Dec 12, 2018",Once Upon a Deadpool,6.1/10,3.1/5,"Rhett Reese, Paul Wernick, Ryan Reynolds",Rhett Reese,Paul Wernick,Ryan Reynolds
3.4/10,,Oliver Daly,,,Oliver Daly,"A.X.L. is a top-secret, robotic dog created by the military to help protect tomorrow's soldiers. Code named by the scientists who created him, A.X.L. stands for Attack, Exploration, Logistics, and embodies the most advanced, next-generation artificial intelligence. After an experiment gone wrong, A.X.L. is discovered hiding alone in the desert by a kind-hearted outsider named Miles (Alex Neustaedter), who finds a way to connect with him after activating his owner-pairing technology. Together, the two develop a special friendship based on trust, loyalty and compassion. Helping Miles gain the confidence he's been lacking, A.X.L. will go to any length to protect his new companion, including facing off against the scientists who created him and who will do anything to get him back. Knowing what is at stake if A.X.L. is captured, Miles teams up with a smart, resourceful ally named Sara (Becky G) to protect his new best friend on a timeless, epic adventure for the whole family.","Action & Adventure, Kids & Family, Science Fiction & Fantasy",771492532,"NR (for sci-fi action/peril, suggestive material, thematic elements and some language)",5.0,21.0,16.0,1.0,6.0,5.0,595,98.0,A.X.L.,"Jan 1, 2019",,"Aug 24, 2018",A.X.L.,2.5/10,3.4/5,Oliver Daly,Oliver Daly,,
9.2/10,,Thom Zimny,,,Thom Zimny,"""Springsteen on Broadway"" is a solo acoustic performance written and performed by Tony Award, Academy Award, and 20-time Grammy Award winner Bruce Springsteen. Based on his worldwide best-selling autobiography 'Born to Run,' ""Springsteen on Broadway"" is a unique evening with Bruce, his guitar, a piano, and his very personal stories. In addition, it features a special appearance by Patti Scialfa. Netflix will allow global audiences to see the show critics have been raving about from anywhere they are.","Documentary, Musical & Performing Arts",771501981,NR,20.0,21.0,1.0,6.0,7.0,1.0,92,153.0,Springsteen on Broadway,"Dec 16, 2018",Netflix,,Springsteen on Broadway,7/10,4.5/5,Bruce Springsteen,Bruce Springsteen,,
5.6/10,,Antoine Fuqua,,,Antoine Fuqua,Denzel Washington returns to one of his signature roles in the first sequel of his career. Robert McCall serves an unflinching justice for the exploited and oppressed - but how far will he go when that is someone he loves?,"Action & Adventure, Mystery & Suspense",771420450,"R (for brutal violence throughout, language, and some drug content)",94.0,183.0,89.0,11.0,31.0,20.0,"4,254",129.0,Equalizer 2,"Dec 11, 2018",Columbia Pictures,"Jul 20, 2018",Equalizer 2,5.2/10,3.6/5,Richard Wenk,Richard Wenk,,
6.7/10,"$161,101",Don DeLeon,,,Don DeLeon,"From acclaimed visual artist Julian Rosefeldt, MANIFESTO features two-time Academy Award winner Cate Blanchett in 13 distinct, must-see vignettes that incorporate timeless manifestos from 20th century art movements. From anchorwoman to homeless man, from Pop Art to Dogma 95, a chameleonic Blanchett gives a tour-de-force performance as she transforms herself like never before. Rosefeldt weaves together history's most impassioned artistic statements in this stunning and contemporary call to action.","Art House & International, Drama",771467610,NR,61.0,80.0,19.0,17.0,20.0,3.0,998,95.0,Manifesto,"Sep 25, 2017",,"May 10, 2017",Manifesto,7.3/10,3.3/5,,,,
6/10,,Dwight H. Little,,,Dwight H. Little,The true crime thriller which follows convicted murderers Gary Tison and Randy Greenawalt's escape from a Arizona State Prison and their murderous rampage through the southwestern desert in the summer of 1978.,Drama,771472286,"R (for some strong violence, and language throughout)",6.0,10.0,4.0,,,,116,93.0,Last Rampage,"Sep 22, 2017",Epic Pictures Releasing,"Sep 22, 2017",Last Rampage,,3.5/5,Álvaro Rodríguez,Álvaro Rodríguez,,
7.1/10,"$1,161,575",Morgan Neville,,,Morgan Neville,"From the director of the Oscar (R)-winning documentary 20 Feet from Stardom and the critically acclaimed Best of Enemies, the new film The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble tells the extraordinary story of the renowned international musical collective created by legendary cellist Yo-Yo Ma. The feature-length documentary follows this group of diverse instrumentalists, vocalists, composers, arrangers, visual artists and storytellers as they explore the power of music to preserve tradition, shape cultural evolution and inspire hope.",Documentary,771430190,PG-13 (for brief strong language),46.0,55.0,9.0,14.0,17.0,3.0,"2,274",96.0,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,"Sep 12, 2017",Tremolo Productions,"Jun 10, 2016",The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,6.7/10,4/5,,,,
6.6/10,,,,,,"Jerry Before Seinfeld: Jerry Seinfeld returns to The Comic Strip for an intimate ​stand-up ​ set at the club that helped launch his career. Interspersed with never-before-seen material -- including a library of legal pads with every joke he's written since 1975, childhood videos, and more -- Jerry performs the jokes that put him on the comedy map in an hour-long stand-up special, only on Netflix.",Comedy,771476121,NR,13.0,14.0,1.0,7.0,7.0,0.0,249,,Jerry Before Seinfeld,"Sep 19, 2017",Netflix,,Jerry Before Seinfeld,7.5/10,3.9/5,,,,
