nconst,primaryName,primaryProfession,knownForTitles
nm0000223,Elisabeth Shue,"actress,soundtrack,producer","tt0113627,tt0092513,tt0120053,tt0164052"
nm0000224,Alicia Silverstone,"actress,producer,soundtrack","tt0124298,tt0118688,tt0112697,tt0106627"
nm0000225,Christian Slater,"actor,producer,soundtrack","tt4158110,tt0102798,tt0108399,tt0124198"
nm0000226,Will Smith,"music_department,actor,producer","tt0119654,tt0120891,tt0098800,tt0480249"
nm0000227,Mira Sorvino,"actress,producer,soundtrack","tt0119675,tt0113819,tt0120032,tt0120008"
nm0000228,Kevin Spacey,"actor,producer,soundtrack","tt0119488,tt0169547,tt0114369,tt0114814"
nm0000229,Steven Spielberg,"producer,writer,director","tt0083866,tt0082971,tt0108052,tt0120815"
nm0000230,Sylvester Stallone,"actor,writer,producer","tt3076658,tt0084602,tt0075148,tt0089927"
nm0000231,Oliver Stone,"director,producer,writer","tt0096969,tt0102138,tt0346491,tt0091763"
nm0000232,Sharon Stone,"actress,producer,soundtrack","tt0114214,tt0112641,tt0111255,tt0103772"
nm0000233,Quentin Tarantino,"writer,actor,producer","tt0105236,tt0110912,tt0116367,tt3460252"
nm0000234,Charlize Theron,"actress,producer,soundtrack","tt1392190,tt2406566,tt1735898,tt0340855"
nm0000235,Uma Thurman,"actress,soundtrack,writer","tt0378194,tt0110912,tt0118688,tt0266697"
nm0000236,Jennifer Tilly,"actress,soundtrack,writer","tt0115736,tt0119528,tt0387575,tt0144120"
nm0000237,John Travolta,"actor,soundtrack,producer","tt0185183,tt0113161,tt0119094,tt0427327"
nm0000239,Liv Tyler,"actress,producer,soundtrack","tt0167260,tt0120591,tt0120737,tt0482606"
nm0000240,Skeet Ulrich,"actor,director,producer","tt0115963,tt0117571,tt0409572,tt0913354"
nm0000241,Jean-Claude Van Damme,"actor,producer,writer","tt0107076,tt0092675,tt0101764,tt0119013"
nm0000242,Mark Wahlberg,"producer,actor,soundtrack","tt0118749,tt1637725,tt0964517,tt0407887"
